Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TestSuit1,Chrome 87.0.4280.88,,,2020-12-21 19:25:21,2020-12-21 19:25:30,9.011s,PASSED
,,,,,,,
Test Cases/Test1,Chrome 87.0.4280.88,,,2020-12-21 19:25:22,2020-12-21 19:25:30,8.148s,PASSED
"openBrowser("""")",Chrome 87.0.4280.88,,,2020-12-21 19:25:23,2020-12-21 19:25:29,6.076s,PASSED
closeBrowser(),Chrome 87.0.4280.88,,,2020-12-21 19:25:29,2020-12-21 19:25:30,1.743s,PASSED
